Código Fonte,Origem,Aplicação,Desdobramento,Detalhamento,Descrição da Fonte,Código STN,Descrição STN
1009,05,02,03,15,Operações de Crédito Internas - Contratos (Saúde),634,Operações de Crédito vinculadas à Saúde
1009,05,05,03,15,Operações de Crédito Internas - Contratos (Outros),754,Recursos de Operações de Crédito
1010,05,01,04,17,Operações de Crédito Externas - Contratos (Educação),574,Operações de Crédito Vinculadas à Educação
1010,05,02,04,17,Operações de Crédito Externas - Contratos (Saúde),634,Operações de Crédito vinculadas à Saúde
1010,05,05,04,17,Operações de Crédito Externas - Contratos (Outros),754,Recursos de Operações de Crédito
1011,09,01,05,18,Transferências de Outros Programas (Educação/Estadual),576,Transferências de Recursos dos Estados para programas de educação
1011,09,01,06,18,Transferências de Outros Programas (Educação/Federal),599,Outros Recursos Vinculados à Educação
1011,09,02,05,18,Transferências de Outros Programas (Saúde/Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
1011,09,02,06,18,Transferências de Outros Programas (Saúde/Federal),659,Outros Recursos Vinculados à Saúde
1011,09,04,06,18,Transferências de Outros Programas (Assistência Social),669,Outros Recursos Vinculados à Assistência Social
1011,09,05,05,18,Transferências de Outros Programas (Outros/Estadual),749,Outras vinculações de transferências
1011,09,05,06,18,Transferências de Outros Programas (Outros/Federal),749,Outras vinculações de transferências
1012,03,01,02,13,Transferências Voluntárias Privadas Externas (Educação),575,Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Educação
1012,03,02,02,13,Transferências Voluntárias Privadas Externas (Saúde),636,Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Saúde
1013,09,01,05,18,Transferências de Outros Programas (Educação/Estadual),576,Transferências de Recursos dos Estados para programas de educação
1014,11,01,07,21,Programas/Transferências Voluntárias Anteriores a 2013 Reclassificados (Educação),599,Outros Recursos Vinculados à Educação
1014,11,02,07,21,Programas/Transferências Voluntárias Anteriores a 2013 Reclassificados (Saúde),659,Outros Recursos Vinculados à Saúde
1014,11,99,07,21,Programas/Transferências Voluntárias Anteriores a 2013 Reclassificados (Outros),749,Outras vinculações de transferências
